name                 time/op      ops/s        allocs/op    vs prev            vs ref            
andnot 1M (seq)      20.6 µs      48.6K        ✅ 4          ✅ +30%             ✅ +66%            
andnot 1M (rnd)      20.3 µs      49.2K        ✅ 4          ✅ +4.6x            ✅ +82%            
andnot 1M (sps)      1.9 ms       527          ✅ 4          ✅ +2.1x            ✅ +80%            
andnot 1M (dns)      2.5 µs       406.2K       ✅ 4          ✅ +21%             ✅ +11x            
range 1K (seq)       509.5 ns     2.0M         🟰 0          ✅ +18%             🟰 similar         
range 1K (rnd)       389.3 ns     2.6M         🟰 0          ✅ +19%             🟰 similar         
range 1K (sps)       551.6 ns     1.8M         🟰 0          ✅ +23%             ✅ +30%            
range 1K (dns)       110.8 ns     9.0M         🟰 0          ❔ uncertain        🟰 similar         
range 1M (seq)       560.4 µs     1.8K         🟰 0          ✅ +4.1x            ✅ +2.8x           
range 1M (rnd)       458.1 µs     2.2K         🟰 0          ✅ +4.6x            ✅ +2.8x           
range 1M (sps)       556.1 µs     1.8K         🟰 0          ✅ +20%             ✅ +14%            
range 1M (dns)       102.9 µs     9.7K         🟰 0          ✅ +89%             ✅ +3.0x           
write seq            64.3 ns      15.6M        ✅ 3          ✅ +2.3x            ✅ +15x            
read seq             91.3 ns      11.0M        ✅ 6          ✅ +2.5x            ✅ +16x            
write rnd            2.7 µs       368.1K       ✅ 5          ❔ uncertain        ❔ uncertain       
read rnd             3.2 µs       308.3K       ✅ 6          ✅ +81%             ❌ -20%            
write sps            83.8 µs      11.9K        ✅ 15         ✅ +68%             ❔ uncertain       
read sps             72.3 µs      13.8K        ✅ 1.5K       ✅ +2.1x            ❔ uncertain       
write dns            992.2 ns     1.0M         ✅ 4          ❔ uncertain        ❔ uncertain       
read dns             1.6 µs       606.8K       ✅ 5          ✅ +74%             ❌ -18%            
