name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         19.8 ns      50.4M        🟰 0          ❌ -14%             🟰 similar         
set 1K (seq) clr     4.0 ns       247.2M       🟰 0          ❔ uncertain        ✅ +19%            
set 1K (rnd)         31.5 ns      31.8M        🟰 0          ❌ -14%             ❔ uncertain       
set 1K (rnd) clr     16.1 ns      61.9M        🟰 0          ❌ -18%             ❔ uncertain       
set 1K (sps)         20.9 ns      47.9M        🟰 0          🟰 similar          🟰 similar         
set 1K (sps) clr     4.7 ns       212.4M       🟰 0          ✅ +79%             ✅ +47%            
set 1K (dns)         21.6 ns      46.4M        🟰 0          ❌ -15%             ❌ -10%            
set 1K (dns) clr     9.1 ns       110.2M       🟰 0          ❌ -15%             ✅ +12%            
