name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
del 1K (seq)         5.2 ns       194.2M       🟰 0          ❔ uncertain        ✅ +16%            
del 1K (seq) clr     14.9 ns      67.2M        🟰 0          ❔ uncertain        ❔ uncertain       
del 1K (rnd)         5.1 ns       194.2M       🟰 0          ❔ uncertain        ✅ +16%            
del 1K (rnd) clr     12.8 ns      78.2M        🟰 0          ❔ uncertain        ✅ +10%            
del 1K (sps)         5.1 ns       194.4M       🟰 0          ❔ uncertain        ✅ +15%            
del 1K (sps) clr     8.7 ns       114.8M       🟰 0          ❔ uncertain        ✅ +18%            
del 1K (dns)         5.2 ns       193.4M       🟰 0          ❔ uncertain        ✅ +15%            
del 1K (dns) clr     4.4 ns       227.4M       🟰 0          ❌ -20%             ❔ uncertain       
