name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         20.0 ns      50.0M        🟰 0          ❌ -14%             🟰 similar         
set 1K (seq) clr     4.1 ns       245.7M       🟰 0          ❔ uncertain        ✅ +20%            
set 1K (rnd)         32.4 ns      30.8M        🟰 0          ❌ -17%             ❔ uncertain       
set 1K (rnd) clr     17.1 ns      58.4M        🟰 0          ❌ -23%             ❔ uncertain       
set 1K (sps)         21.0 ns      47.7M        🟰 0          🟰 similar          🟰 similar         
set 1K (sps) clr     4.7 ns       211.3M       🟰 0          ✅ +78%             ✅ +47%            
set 1K (dns)         21.8 ns      45.9M        🟰 0          ❌ -16%             ❌ -8%             
set 1K (dns) clr     9.3 ns       107.2M       🟰 0          ❌ -17%             ✅ +10%            
