name                 time/op      ops/s        allocs/op    vs prev            vs ref            
andnot 1M (seq)      20.8 µs      48.0K        ✅ 4          ✅ +28%             ✅ +65%            
andnot 1M (rnd)      20.7 µs      48.2K        ✅ 4          ✅ +4.5x            ✅ +77%            
andnot 1M (sps)      1.9 ms       521          ✅ 4          ✅ +2.1x            ✅ +79%            
andnot 1M (dns)      2.4 µs       417.5K       ✅ 4          ✅ +24%             ✅ +11x            
range 1K (seq)       562.2 ns     1.8M         🟰 0          ✅ +9%              ❌ -9%             
range 1K (rnd)       424.7 ns     2.4M         🟰 0          ❔ uncertain        ❔ uncertain       
range 1K (sps)       606.9 ns     1.6M         🟰 0          ✅ +12%             ✅ +18%            
range 1K (dns)       119.6 ns     8.4M         🟰 0          ✅ +11%             ❔ uncertain       
range 1M (seq)       559.6 µs     1.8K         🟰 0          ✅ +4.1x            ✅ +2.8x           
range 1M (rnd)       456.8 µs     2.2K         🟰 0          ✅ +4.5x            ✅ +2.8x           
range 1M (sps)       583.7 µs     1.7K         🟰 0          ✅ +15%             ❔ uncertain       
range 1M (dns)       102.4 µs     9.8K         🟰 0          ✅ +88%             ✅ +3.0x           
write seq            63.1 ns      15.8M        ✅ 3          ✅ +2.3x            ✅ +15x            
read seq             91.9 ns      10.9M        ✅ 6          ❔ uncertain        ✅ +16x            
write rnd            2.7 µs       367.9K       ✅ 5          ✅ +28%             ❔ uncertain       
read rnd             2.8 µs       355.2K       ✅ 6          ✅ +2.1x            ❔ uncertain       
write sps            98.3 µs      10.2K        ✅ 15         ❔ uncertain        ❔ uncertain       
read sps             83.3 µs      12.0K        ✅ 1.5K       ❔ uncertain        ❔ uncertain       
write dns            1.1 µs       915.7K       ✅ 4          ❔ uncertain        ❔ uncertain       
read dns             1.4 µs       704.4K       ✅ 5          ✅ +2.0x            ❔ uncertain       
