name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
del 1K (seq)         5.2 ns       192.8M       🟰 0          ❔ uncertain        ✅ +14%            
del 1K (seq) clr     13.9 ns      71.9M        🟰 0          🟰 similar          ✅ +10%            
del 1K (rnd)         5.1 ns       195.0M       🟰 0          ❔ uncertain        ✅ +15%            
del 1K (rnd) clr     10.1 ns      99.0M        🟰 0          ✅ +28%             ✅ +37%            
del 1K (sps)         5.1 ns       196.5M       🟰 0          ❔ uncertain        ✅ +14%            
del 1K (sps) clr     8.5 ns       117.6M       🟰 0          ❔ uncertain        ✅ +21%            
del 1K (dns)         5.1 ns       195.6M       🟰 0          ❔ uncertain        ✅ +15%            
del 1K (dns) clr     3.4 ns       294.6M       🟰 0          🟰 similar          ✅ +64%            
