name                 time/op      ops/s        allocs/op    vs prev            vs ref            
andnot 1M (seq)      20.9 µs      47.9K        ✅ 4          ✅ +29%             ✅ +65%            
andnot 1M (rnd)      21.2 µs      47.1K        ✅ 4          ✅ +4.4x            ✅ +77%            
andnot 1M (sps)      2.0 ms       497          ✅ 4          ✅ +99%             ✅ +72%            
andnot 1M (dns)      2.5 µs       399.4K       ✅ 4          ✅ +21%             ✅ +11x            
range 1K (seq)       508.8 ns     2.0M         🟰 0          ❔ uncertain        ❔ uncertain       
range 1K (rnd)       385.1 ns     2.6M         🟰 0          ✅ +22%             🟰 similar         
range 1K (sps)       555.0 ns     1.8M         🟰 0          ✅ +24%             ✅ +28%            
range 1K (dns)       108.5 ns     9.2M         🟰 0          ✅ +23%             ❔ uncertain       
range 1M (seq)       553.1 µs     1.8K         🟰 0          ✅ +4.2x            ✅ +2.8x           
range 1M (rnd)       456.7 µs     2.2K         🟰 0          ✅ +4.6x            ✅ +2.8x           
range 1M (sps)       553.0 µs     1.8K         🟰 0          ❔ uncertain        ✅ +13%            
range 1M (dns)       102.0 µs     9.8K         🟰 0          ✅ +92%             ✅ +3.0x           
write seq            63.9 ns      15.6M        ✅ 3          ✅ +2.3x            ✅ +14x            
read seq             92.6 ns      10.8M        ✅ 6          ✅ +2.4x            ✅ +16x            
write rnd            2.8 µs       357.6K       ✅ 5          ❔ uncertain        ❔ uncertain       
read rnd             2.9 µs       347.8K       ✅ 6          ✅ +2.1x            ❔ uncertain       
write sps            80.4 µs      12.4K        ✅ 15         ✅ +73%             ❔ uncertain       
read sps             71.9 µs      13.9K        ✅ 1.5K       ✅ +2.1x            ❔ uncertain       
write dns            966.2 ns     1.0M         ✅ 4          ❔ uncertain        ❔ uncertain       
read dns             1.4 µs       712.5K       ✅ 5          ✅ +2.1x            ❔ uncertain       
