name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         19.2 ns      52.1M        0            ❔ new              ❔ uncertain       
set 1K (seq) clr     5.4 ns       183.7M       0            ❔ new              ❌ -12%            
set 1K (rnd)         31.1 ns      32.1M        0            ❔ new              🟰 similar         
set 1K (rnd) clr     18.9 ns      52.9M        0            ❔ new              ❌ -15%            
set 1K (sps)         20.8 ns      48.1M        0            ❔ new              🟰 similar         
set 1K (sps) clr     8.5 ns       117.7M       0            ❔ new              ❌ -20%            
set 1K (dns)         20.8 ns      48.1M        0            ❔ new              ❔ uncertain       
set 1K (dns) clr     8.3 ns       120.0M       0            ❔ new              ✅ +24%            
set 1M (seq)         11.5 ns      86.6M        0            ❔ new              ✅ +14%            
set 1M (seq) clr     11.2 ns      89.4M        0            ❔ new              ❌ -64%            
set 1M (rnd)         20.0 ns      49.9M        0            ❔ new              ✅ +10%            
set 1M (rnd) clr     31.2 ns      32.1M        0            ❔ new              ❌ -37%            
set 1M (sps)         31.3 ns      32.0M        0            ❔ new              ✅ +24%            
set 1M (sps) clr     12.1 ns      82.9M        0            ❔ new              ❌ -44%            
set 1M (dns)         12.9 ns      77.5M        0            ❔ new              ❔ uncertain       
set 1M (dns) clr     8.1 ns       123.6M       0            ❔ new              ❔ uncertain       
has 1K (seq)         17.9 ns      55.9M        0            ❔ new              🟰 similar         
has 1K (rnd)         25.8 ns      38.7M        0            ❔ new              ❔ uncertain       
has 1K (sps)         13.3 ns      75.3M        0            ❔ new              ✅ +34%            
has 1K (dns)         19.2 ns      52.1M        0            ❔ new              ❔ uncertain       
has 1M (seq)         9.5 ns       104.7M       0            ❔ new              ❔ uncertain       
has 1M (rnd)         18.9 ns      52.9M        0            ❔ new              ✅ +11%            
has 1M (sps)         26.8 ns      37.4M        0            ❔ new              ❔ uncertain       
has 1M (dns)         11.8 ns      84.9M        0            ❔ new              🟰 similar         
del 1K (seq)         6.8 ns       146.4M       0            ❔ new              ❔ uncertain       
del 1K (seq) clr     13.0 ns      77.0M        0            ❔ new              ✅ +20%            
