name                 time/op      ops/s        allocs/op    vs prev            vs ref            
andnot 1M (seq)      20.8 µs      48.1K        ✅ 4          ✅ +29%             ✅ +69%            
andnot 1M (rnd)      20.5 µs      48.9K        ✅ 4          ✅ +4.6x            ✅ +84%            
andnot 1M (sps)      1.9 ms       540          ✅ 4          ✅ +2.2x            ✅ +84%            
andnot 1M (dns)      2.5 µs       405.9K       ✅ 4          ✅ +23%             ✅ +11x            
range 1K (seq)       511.9 ns     2.0M         🟰 0          ✅ +20%             🟰 similar         
range 1K (rnd)       391.1 ns     2.6M         🟰 0          ❔ uncertain        ❔ uncertain       
range 1K (sps)       563.1 ns     1.8M         🟰 0          ✅ +22%             ✅ +28%            
range 1K (dns)       109.6 ns     9.1M         🟰 0          ✅ +22%             ❔ uncertain       
range 1M (seq)       556.4 µs     1.8K         🟰 0          ✅ +4.1x            ✅ +2.8x           
range 1M (rnd)       459.3 µs     2.2K         🟰 0          ✅ +4.6x            ✅ +2.8x           
range 1M (sps)       559.2 µs     1.8K         🟰 0          ✅ +21%             ✅ +12%            
range 1M (dns)       103.0 µs     9.7K         🟰 0          ✅ +90%             ✅ +3.0x           
write seq            63.8 ns      15.7M        ✅ 3          ✅ +2.3x            ✅ +15x            
read seq             92.6 ns      10.8M        ✅ 6          ✅ +2.4x            ✅ +16x            
write rnd            2.8 µs       357.7K       ✅ 5          ❔ uncertain        ❔ uncertain       
read rnd             2.9 µs       342.2K       ✅ 6          ✅ +2.0x            ❔ uncertain       
write sps            81.9 µs      12.2K        ✅ 15         ✅ +70%             ❔ uncertain       
read sps             73.6 µs      13.6K        ✅ 1.5K       ✅ +2.1x            ❔ uncertain       
write dns            1.1 µs       945.4K       ✅ 4          ❔ uncertain        ❔ uncertain       
read dns             1.5 µs       676.5K       ✅ 5          ✅ +96%             ❔ uncertain       
