name                 time/op      ops/s        allocs/op    vs prev            vs ref            
andnot 1M (seq)      21.7 µs      46.2K        ✅ 4          ✅ +79%             ✅ +71%            
andnot 1M (rnd)      21.2 µs      47.2K        ✅ 4          ✅ +5.3x            ✅ +84%            
andnot 1M (sps)      2.1 ms       486          ✅ 4          ❔ uncertain        ✅ +71%            
andnot 1M (dns)      2.5 µs       399.0K       ✅ 4          ✅ +66%             ✅ +11x            
range 1K (seq)       570.5 ns     1.8M         🟰 0          ✅ +11%             ❌ -10%            
range 1K (rnd)       433.5 ns     2.3M         🟰 0          ❔ uncertain        ❌ -10%            
range 1K (sps)       609.6 ns     1.6M         🟰 0          ✅ +15%             ❔ uncertain       
range 1K (dns)       122.3 ns     8.2M         🟰 0          ✅ +13%             ❌ -9%             
range 1M (seq)       556.9 µs     1.8K         🟰 0          ✅ +4.3x            ✅ +2.9x           
range 1M (rnd)       458.4 µs     2.2K         🟰 0          ✅ +4.8x            ✅ +2.7x           
range 1M (sps)       602.5 µs     1.7K         🟰 0          ❔ uncertain        ❔ uncertain       
range 1M (dns)       102.2 µs     9.8K         🟰 0          ❔ uncertain        ✅ +3.0x           
write seq            65.5 ns      15.3M        ✅ 3          ❔ uncertain        ✅ +15x            
read seq             97.2 ns      10.3M        ✅ 6          ❔ uncertain        ✅ +15x            
write rnd            2.8 µs       353.4K       ✅ 5          ❔ uncertain        ❔ uncertain       
read rnd             3.4 µs       295.2K       ✅ 6          ❔ uncertain        ❌ -17%            
write sps            88.1 µs      11.3K        ✅ 15         ❔ uncertain        ❔ uncertain       
read sps             74.5 µs      13.4K        ✅ 1.5K       ❔ uncertain        ❔ uncertain       
write dns            1.0 µs       957.2K       ✅ 4          ❔ uncertain        ❔ uncertain       
read dns             1.8 µs       566.9K       ✅ 5          ✅ +65%             ❌ -18%            
