name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         19.3 ns      51.7M        0            ❔ new              ❔ uncertain       
set 1K (seq) clr     5.6 ns       180.0M       0            ❔ new              ❌ -13%            
set 1K (rnd)         30.9 ns      32.4M        0            ❔ new              🟰 similar         
set 1K (rnd) clr     18.3 ns      54.6M        0            ❔ new              ❌ -14%            
set 1K (sps)         20.7 ns      48.3M        0            ❔ new              🟰 similar         
set 1K (sps) clr     8.6 ns       116.2M       0            ❔ new              ❔ uncertain       
set 1K (dns)         21.4 ns      46.6M        0            ❔ new              ❔ uncertain       
set 1K (dns) clr     8.5 ns       117.4M       0            ❔ new              ✅ +21%            
set 1M (seq)         11.6 ns      86.5M        0            ❔ new              ✅ +13%            
set 1M (seq) clr     11.0 ns      90.7M        0            ❔ new              ❌ -64%            
set 1M (rnd)         20.0 ns      50.1M        0            ❔ new              ✅ +10%            
set 1M (rnd) clr     31.1 ns      32.2M        0            ❔ new              ❌ -37%            
set 1M (sps)         31.0 ns      32.3M        0            ❔ new              ✅ +24%            
set 1M (sps) clr     12.0 ns      83.0M        0            ❔ new              ❌ -44%            
set 1M (dns)         12.8 ns      78.1M        0            ❔ new              ❔ uncertain       
set 1M (dns) clr     8.0 ns       124.7M       0            ❔ new              ❔ uncertain       
has 1K (seq)         17.9 ns      55.7M        0            ❔ new              🟰 similar         
has 1K (rnd)         26.0 ns      38.5M        0            ❔ new              ❔ uncertain       
has 1K (sps)         13.6 ns      73.3M        0            ❔ new              ✅ +31%            
has 1K (dns)         19.3 ns      51.8M        0            ❔ new              ❔ uncertain       
has 1M (seq)         9.5 ns       105.3M       0            ❔ new              ❔ uncertain       
has 1M (rnd)         18.9 ns      52.9M        0            ❔ new              ✅ +11%            
has 1M (sps)         26.9 ns      37.1M        0            ❔ new              ✅ +29%            
has 1M (dns)         11.9 ns      84.1M        0            ❔ new              🟰 similar         
del 1K (seq)         6.7 ns       148.2M       0            ❔ new              ❔ uncertain       
del 1K (seq) clr     12.9 ns      77.2M        0            ❔ new              ✅ +19%            
del 1K (rnd)         6.7 ns       148.7M       0            ❔ new              ❔ uncertain       
del 1K (rnd) clr     13.4 ns      74.5M        0            ❔ new              ❔ uncertain       
del 1K (sps)         6.7 ns       149.8M       0            ❔ new              ❔ uncertain       
del 1K (sps) clr     7.6 ns       130.9M       0            ❔ new              ✅ +36%            
del 1K (dns)         6.7 ns       150.2M       0            ❔ new              ❔ uncertain       
del 1K (dns) clr     4.9 ns       205.6M       0            ❔ new              ✅ +19%            
del 1M (seq)         6.9 ns       145.6M       0            ❔ new              ❔ uncertain       
del 1M (seq) clr     10.1 ns      99.1M        0            ❔ new              ❌ -15%            
del 1M (rnd)         20.2 ns      49.4M        0            ❔ new              ✅ +14%            
del 1M (rnd) clr     17.5 ns      57.0M        0            ❔ new              ✅ +55%            
del 1M (sps)         7.0 ns       142.4M       0            ❔ new              ❔ uncertain       
del 1M (sps) clr     104.5 ns     9.6M         0            ❔ new              ❌ -34%            
del 1M (dns)         38.7 ns      25.8M        0            ❔ new              ✅ +36%            
del 1M (dns) clr     18.0 ns      55.4M        0            ❔ new              ✅ +34%            
and 1K (seq)         818.6 ns     1.2M         4            ❔ new              ❔ uncertain       
and 1K (rnd)         608.7 ns     1.6M         4            ❔ new              ❌ -10%            
and 1K (sps)         1.2 µs       833.6K       19           ❔ new              🟰 similar         
and 1K (dns)         178.2 ns     5.6M         4            ❔ new              ❌ -36%            
and 1M (seq)         25.7 µs      38.9K        19           ❔ new              ✅ +26%            
and 1M (rnd)         25.6 µs      39.0K        19           ❔ new              ✅ +26%            
and 1M (sps)         3.9 ms       255          15.3K        ❔ new              ❌ -14%            
and 1M (dns)         2.9 µs       341.9K       5            ❔ new              ✅ +2.5x           
or 1K (seq)          1.8 µs       558.7K       16           ❔ new              ❌ -20%            
or 1K (rnd)          1.6 µs       641.2K       16           ❔ new              ❌ -31%            
or 1K (sps)          1.9 µs       516.4K       32           ❔ new              ❔ uncertain       
or 1K (dns)          350.8 ns     2.9M         12           ❔ new              ✅ +39%            
or 1M (seq)          26.9 µs      37.2K        27           ❔ new              ✅ +18%            
or 1M (rnd)          26.8 µs      37.3K        27           ❔ new              ❔ uncertain       
or 1M (sps)          4.2 ms       237          15.3K        ❔ new              ❔ uncertain       
or 1M (dns)          3.3 µs       300.3K       8            ❔ new              ✅ +230x           
xor 1K (seq)         1.4 µs       708.3K       14           ❔ new              ✅ +4.8x           
xor 1K (rnd)         1.2 µs       853.9K       14           ❔ new              ❔ uncertain       
xor 1K (sps)         1.9 µs       515.9K       32           ❔ new              ❔ uncertain       
xor 1K (dns)         171.9 ns     5.8M         4            ❔ new              ✅ +21x            
xor 1M (seq)         28.1 µs      35.6K        27           ❔ new              ✅ +2.0x           
xor 1M (rnd)         27.6 µs      36.3K        27           ❔ new              ✅ +2.0x           
xor 1M (sps)         4.2 ms       240          15.3K        ❔ new              ❔ uncertain       
xor 1M (dns)         3.2 µs       310.8K       8            ❔ new              ✅ +8.2x           
