name                 time/op      ops/s        allocs/op    vs prev            vs ref            
andnot 1M (seq)      19.7 µs      50.8K        🟰 4          ❔ uncertain        ✅ +69%            
andnot 1M (rnd)      19.6 µs      50.9K        🟰 4          ❔ uncertain        ✅ +84%            
andnot 1M (sps)      1.9 ms       528          🟰 4          ❔ uncertain        ✅ +81%            
andnot 1M (dns)      2.4 µs       419.6K       🟰 4          ❔ uncertain        ✅ +11x            
range 1K (seq)       507.5 ns     2.0M         🟰 0          ✅ +21%             ❔ uncertain       
range 1K (rnd)       385.1 ns     2.6M         🟰 0          🟰 similar          🟰 similar         
range 1K (sps)       550.1 ns     1.8M         🟰 0          🟰 similar          ✅ +29%            
range 1K (dns)       108.2 ns     9.2M         🟰 0          🟰 similar          ❔ uncertain       
range 1M (seq)       552.9 µs     1.8K         🟰 0          🟰 similar          ✅ +2.8x           
range 1M (rnd)       456.7 µs     2.2K         🟰 0          🟰 similar          ✅ +2.7x           
range 1M (sps)       554.3 µs     1.8K         🟰 0          ❔ uncertain        ✅ +16%            
range 1M (dns)       101.7 µs     9.8K         🟰 0          🟰 similar          ✅ +3.0x           
write seq            63.2 ns      15.8M        🟰 3          🟰 similar          ✅ +14x            
read seq             91.4 ns      10.9M        🟰 6          ❔ uncertain        ✅ +15x            
write rnd            2.6 µs       381.1K       ✅ 5          ❔ uncertain        ❔ uncertain       
read rnd             2.7 µs       372.2K       🟰 6          ❔ uncertain        ❔ uncertain       
write sps            80.3 µs      12.5K        🟰 15         ❔ uncertain        ❔ uncertain       
read sps             70.8 µs      14.1K        🟰 1.5K       ❔ uncertain        ❔ uncertain       
write dns            968.2 ns     1.0M         ✅ 4          ❔ uncertain        ❔ uncertain       
read dns             1.4 µs       731.4K       🟰 5          ❔ uncertain        ❔ uncertain       
