name                 time/op      ops/s        allocs/op    vs prev            vs ref            
del 1K (sps) clr     8.7 ns       114.8M       🟰 0          ❔ uncertain        ✅ +19%            
del 1K (dns)         5.2 ns       192.2M       🟰 0          ❔ uncertain        ✅ +17%            
del 1K (dns) clr     3.5 ns       284.2M       🟰 0          🟰 similar          ✅ +60%            
del 1M (seq)         5.2 ns       191.0M       🟰 0          ✅ +29%             ✅ +15%            
del 1M (seq) clr     4.9 ns       204.2M       🟰 0          🟰 similar          ✅ +74%            
del 1M (rnd)         20.3 ns      49.2M        🟰 0          🟰 similar          ✅ +13%            
del 1M (rnd) clr     17.7 ns      56.5M        🟰 0          🟰 similar          ✅ +53%            
del 1M (sps)         5.3 ns       189.3M       🟰 0          ❔ uncertain        ❔ uncertain       
del 1M (sps) clr     13.0 ns      76.9M        🟰 0          🟰 similar          ✅ +5.3x           
del 1M (dns)         41.2 ns      24.3M        🟰 0          ❔ uncertain        ❔ uncertain       
del 1M (dns) clr     18.1 ns      55.3M        🟰 0          🟰 similar          ✅ +35%            
and 1K (seq)         841.1 ns     1.2M         🟰 4          ❔ uncertain        ❔ uncertain       
and 1K (rnd)         600.6 ns     1.7M         🟰 4          ❔ uncertain        ❔ uncertain       
and 1K (sps)         1.2 µs       857.4K       ✅ 4          ❔ uncertain        ❔ uncertain       
and 1K (dns)         79.8 ns      12.5M        🟰 4          ❔ uncertain        ✅ +45%            
and 1M (seq)         20.5 µs      48.7K        🟰 4          ❔ uncertain        ✅ +62%            
and 1M (rnd)         20.5 µs      48.7K        🟰 4          🟰 similar          ✅ +63%            
and 1M (sps)         1.8 ms       543          🟰 4          ❔ uncertain        ✅ +88%            
and 1M (dns)         2.4 µs       418.7K       🟰 4          ❔ uncertain        ✅ +3.1x           
or 1K (seq)          1.4 µs       715.2K       🟰 5          ❔ uncertain        ❔ uncertain       
or 1K (rnd)          1.1 µs       928.8K       🟰 5          ❔ uncertain        ❔ uncertain       
or 1K (sps)          1.6 µs       621.4K       🟰 5          ❔ uncertain        ✅ +32%            
or 1K (dns)          102.0 ns     9.8M         🟰 5          ❔ uncertain        ✅ +4.8x           
or 1M (seq)          21.4 µs      46.7K        🟰 4          ❔ uncertain        ✅ +58%            
or 1M (rnd)          21.0 µs      47.5K        🟰 4          ❔ uncertain        ✅ +59%            
or 1M (sps)          2.2 ms       454          🟰 5          ❔ uncertain        ✅ +87%            
or 1M (dns)          2.8 µs       361.6K       🟰 4          ❔ uncertain        ❔ uncertain       
xor 1K (seq)         1.2 µs       830.8K       🟰 5          ❔ uncertain        ❔ uncertain       
xor 1K (rnd)         865.1 ns     1.2M         🟰 5          ❔ uncertain        ❔ uncertain       
xor 1K (sps)         1.6 µs       621.6K       🟰 13         ❔ uncertain        ✅ +12%            
xor 1K (dns)         93.4 ns      10.7M        🟰 5          ❔ uncertain        ✅ +37x            
xor 1M (seq)         20.8 µs      48.0K        🟰 4          ❔ uncertain        ✅ +2.7x           
xor 1M (rnd)         20.4 µs      49.1K        🟰 4          ❔ uncertain        ✅ +2.8x           
xor 1M (sps)         2.5 ms       400          🟰 8.7K       ❔ uncertain        ✅ +60%            
xor 1M (dns)         2.5 µs       400.5K       🟰 4          ❔ uncertain        ✅ +10.5x          
andnot 1K (seq)      963.4 ns     1.0M         🟰 4          ❔ uncertain        ❔ uncertain       
andnot 1K (rnd)      765.9 ns     1.3M         🟰 4          ❔ uncertain        ❔ uncertain       
andnot 1K (sps)      1.4 µs       715.9K       ✅ 4          ❔ uncertain        ❔ uncertain       
andnot 1K (dns)      82.3 ns      12.1M        🟰 4          ❔ uncertain        ✅ +49x            
andnot 1M (seq)      20.6 µs      48.6K        🟰 4          ❔ uncertain        ✅ +71%            
andnot 1M (rnd)      20.5 µs      48.7K        🟰 4          ❔ uncertain        ❔ uncertain       
andnot 1M (sps)      2.0 ms       506          🟰 4          ❔ uncertain        ✅ +77%            
andnot 1M (dns)      2.4 µs       408.6K       🟰 4          ❔ uncertain        ✅ +11x            
range 1K (seq)       514.3 ns     1.9M         🟰 0          ❔ uncertain        ❔ uncertain       
range 1K (rnd)       390.5 ns     2.6M         🟰 0          🟰 similar          🟰 similar         
range 1K (sps)       556.4 ns     1.8M         🟰 0          🟰 similar          ✅ +29%            
range 1K (dns)       109.4 ns     9.1M         🟰 0          ❔ uncertain        ❔ uncertain       
range 1M (seq)       556.4 µs     1.8K         🟰 0          🟰 similar          ✅ +2.8x           
range 1M (rnd)       457.2 µs     2.2K         🟰 0          🟰 similar          ✅ +2.8x           
range 1M (sps)       558.9 µs     1.8K         🟰 0          ✅ +21%             ✅ +12%            
range 1M (dns)       103.0 µs     9.7K         🟰 0          🟰 similar          ✅ +3.0x           
write seq            64.7 ns      15.4M        🟰 3          ❔ uncertain        ✅ +14x            
read seq             91.5 ns      10.9M        🟰 6          ❔ uncertain        ✅ +16x            
write rnd            2.7 µs       366.2K       ✅ 5          ❔ uncertain        ❔ uncertain       
read rnd             2.9 µs       342.0K       🟰 6          ❔ uncertain        ❔ uncertain       
write sps            82.7 µs      12.1K        🟰 15         ❔ uncertain        ❔ uncertain       
read sps             73.6 µs      13.6K        🟰 1.5K       ❔ uncertain        ❔ uncertain       
write dns            980.0 ns     1.0M         ✅ 4          ❔ uncertain        ❔ uncertain       
read dns             1.5 µs       675.8K       🟰 5          ❔ uncertain        ❔ uncertain       
