name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         17.3 ns      57.8M        🟰 0          🟰 similar          ✅ +16%            
set 1K (seq) clr     4.1 ns       244.5M       🟰 0          ❔ uncertain        ✅ +19%            
set 1K (rnd)         27.4 ns      36.4M        🟰 0          🟰 similar          ✅ +14%            
set 1K (rnd) clr     13.5 ns      74.2M        🟰 0          ❔ uncertain        ✅ +18%            
set 1K (sps)         19.1 ns      52.5M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1K (sps) clr     4.8 ns       209.4M       🟰 0          ✅ +77%             ✅ +47%            
set 1K (dns)         18.4 ns      54.5M        🟰 0          🟰 similar          ✅ +8%             
set 1K (dns) clr     7.7 ns       130.3M       🟰 0          ❔ uncertain        ❔ uncertain       
set 1M (seq)         10.7 ns      93.3M        🟰 0          ❔ uncertain        ✅ +23%            
set 1M (seq) clr     3.0 ns       331.6M       🟰 0          🟰 similar          ✅ +33%            
set 1M (rnd)         20.1 ns      49.8M        🟰 0          🟰 similar          ✅ +9%             
set 1M (rnd) clr     18.0 ns      55.6M        🟰 0          🟰 similar          ✅ +8%             
set 1M (sps)         31.7 ns      31.6M        🟰 0          🟰 similar          ✅ +22%            
set 1M (sps) clr     4.5 ns       221.9M       🟰 0          ❔ uncertain        ✅ +45%            
set 1M (dns)         12.3 ns      81.6M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1M (dns) clr     6.8 ns       147.6M       🟰 0          🟰 similar          ✅ +12%            
has 1K (seq)         13.1 ns      76.5M        🟰 0          🟰 similar          ✅ +40%            
has 1K (rnd)         19.0 ns      52.6M        🟰 0          🟰 similar          ✅ +32%            
has 1K (sps)         14.0 ns      71.6M        🟰 0          ❔ uncertain        ✅ +27%            
has 1K (dns)         12.6 ns      79.2M        🟰 0          ✅ +57%             ✅ +46%            
has 1M (seq)         8.6 ns       116.3M       🟰 0          🟰 similar          ✅ +15%            
has 1M (rnd)         19.6 ns      51.0M        🟰 0          🟰 similar          ❔ uncertain       
has 1M (sps)         25.1 ns      39.8M        🟰 0          ✅ +7%              ✅ +40%            
has 1M (dns)         11.5 ns      86.9M        🟰 0          🟰 similar          ❔ uncertain       
del 1K (seq)         5.2 ns       190.7M       🟰 0          ❔ uncertain        ✅ +16%            
del 1K (seq) clr     14.1 ns      71.0M        🟰 0          🟰 similar          ❔ uncertain       
del 1K (rnd)         5.2 ns       192.1M       🟰 0          ❔ uncertain        ✅ +16%            
del 1K (rnd) clr     10.6 ns      94.2M        🟰 0          ✅ +22%             ✅ +36%            
del 1K (sps)         5.2 ns       193.7M       🟰 0          ❔ uncertain        ✅ +15%            
