name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
del 1K (seq)         5.1 ns       194.4M       🟰 0          ❔ uncertain        ✅ +15%            
del 1K (seq) clr     12.3 ns      81.2M        🟰 0          ✅ +15%             ✅ +24%            
del 1K (rnd)         5.2 ns       192.7M       🟰 0          ❔ uncertain        ✅ +13%            
del 1K (rnd) clr     13.1 ns      76.4M        🟰 0          ❔ uncertain        ❔ uncertain       
del 1K (sps)         5.1 ns       194.6M       🟰 0          ❔ uncertain        ✅ +15%            
del 1K (sps) clr     7.4 ns       134.6M       🟰 0          ❔ uncertain        ✅ +39%            
del 1K (dns)         5.2 ns       193.7M       🟰 0          ❔ uncertain        ✅ +14%            
del 1K (dns) clr     4.1 ns       241.7M       🟰 0          ❌ -15%             ✅ +37%            
