name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
del 1M (seq)         5.2 ns       193.0M       🟰 0          ✅ +30%             ✅ +15%            
del 1M (seq) clr     4.9 ns       205.1M       🟰 0          🟰 similar          ✅ +73%            
del 1M (rnd)         20.4 ns      49.1M        🟰 0          🟰 similar          ✅ +13%            
del 1M (rnd) clr     17.5 ns      57.1M        🟰 0          ❔ uncertain        ✅ +54%            
del 1M (sps)         5.2 ns       192.9M       🟰 0          ❔ uncertain        ✅ +15%            
del 1M (sps) clr     12.8 ns      78.0M        🟰 0          🟰 similar          ✅ +5.4x           
del 1M (dns)         40.2 ns      24.9M        🟰 0          🟰 similar          ✅ +28%            
del 1M (dns) clr     17.7 ns      56.6M        🟰 0          ❔ uncertain        ✅ +36%            
