name                 time/op      ops/s        allocs/op    vs prev            vs ref            
andnot 1M (seq)      20.6 µs      48.6K        ✅ 4          ✅ +27%             ✅ +70%            
andnot 1M (rnd)      20.2 µs      49.5K        ✅ 4          ✅ +4.6x            ✅ +82%            
andnot 1M (sps)      1.9 ms       534          ✅ 4          ✅ +2.1x            ✅ +83%            
andnot 1M (dns)      2.3 µs       427.2K       ✅ 4          ✅ +28%             ✅ +12x            
range 1K (seq)       509.8 ns     2.0M         🟰 0          ❔ uncertain        🟰 similar         
range 1K (rnd)       386.9 ns     2.6M         🟰 0          ✅ +19%             🟰 similar         
range 1K (sps)       558.0 ns     1.8M         🟰 0          ❔ uncertain        ✅ +28%            
range 1K (dns)       109.1 ns     9.2M         🟰 0          ✅ +21%             🟰 similar         
range 1M (seq)       556.5 µs     1.8K         🟰 0          ✅ +4.1x            ✅ +2.8x           
range 1M (rnd)       457.1 µs     2.2K         🟰 0          ✅ +4.5x            ✅ +2.7x           
range 1M (sps)       556.5 µs     1.8K         🟰 0          ✅ +20%             ✅ +14%            
range 1M (dns)       102.2 µs     9.8K         🟰 0          ✅ +89%             ✅ +3.1x           
write seq            62.5 ns      16.0M        ✅ 3          ✅ +2.3x            ✅ +15x            
read seq             91.7 ns      10.9M        ✅ 6          ✅ +2.5x            ✅ +16x            
write rnd            2.7 µs       364.2K       ✅ 5          ❔ uncertain        ❔ uncertain       
read rnd             3.2 µs       308.8K       ✅ 6          ❔ uncertain        ❌ -18%            
write sps            83.9 µs      11.9K        ✅ 15         ✅ +62%             ❔ uncertain       
read sps             72.9 µs      13.7K        ✅ 1.5K       ✅ +2.1x            ❔ uncertain       
write dns            969.9 ns     1.0M         ✅ 4          ❔ uncertain        ❔ uncertain       
read dns             1.6 µs       608.6K       ✅ 5          ✅ +73%             ❌ -19%            
