name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         17.5 ns      57.0M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1K (seq) clr     4.1 ns       242.3M       🟰 0          ❔ uncertain        ✅ +19%            
set 1K (rnd)         27.2 ns      36.7M        🟰 0          🟰 similar          ✅ +16%            
set 1K (rnd) clr     13.5 ns      74.0M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1K (sps)         19.3 ns      51.7M        🟰 0          ✅ +9%              ✅ +12%            
set 1K (sps) clr     4.8 ns       208.1M       🟰 0          ✅ +75%             ✅ +45%            
set 1K (dns)         18.5 ns      54.0M        🟰 0          🟰 similar          ✅ +8%             
set 1K (dns) clr     7.7 ns       129.1M       🟰 0          ❔ uncertain        ❔ uncertain       
