name                 time/op      ops/s        allocs/op    vs prev            vs ref            
andnot 1K (dns)      82.9 ns      12.1M        ✅ 4          ✅ +2.1x            ✅ +48x            
andnot 1M (seq)      21.3 µs      47.0K        ✅ 4          ❔ uncertain        ❔ uncertain       
andnot 1M (rnd)      21.8 µs      45.8K        ✅ 4          ❔ uncertain        ❔ uncertain       
andnot 1M (sps)      2.0 ms       499          ✅ 4          ✅ +100%            ✅ +75%            
andnot 1M (dns)      2.6 µs       392.1K       ✅ 4          ✅ +18%             ✅ +11.0x          
range 1K (seq)       614.6 ns     1.6M         🟰 0          🟰 similar          ❌ -16%            
range 1K (rnd)       468.7 ns     2.1M         🟰 0          🟰 similar          ❌ -16%            
range 1K (sps)       673.1 ns     1.5M         🟰 0          🟰 similar          ✅ +6%             
range 1K (dns)       131.2 ns     7.6M         🟰 0          🟰 similar          ❌ -15%            
range 1M (seq)       557.1 µs     1.8K         🟰 0          ✅ +4.1x            ✅ +2.8x           
range 1M (rnd)       459.5 µs     2.2K         🟰 0          ✅ +4.6x            ✅ +2.8x           
range 1M (sps)       672.2 µs     1.5K         🟰 0          🟰 similar          ❔ uncertain       
range 1M (dns)       102.1 µs     9.8K         🟰 0          ✅ +92%             ✅ +3.0x           
write seq            64.3 ns      15.5M        ✅ 3          ✅ +2.3x            ✅ +16x            
read seq             94.5 ns      10.6M        ✅ 6          ✅ +2.4x            ✅ +16x            
write rnd            2.8 µs       354.6K       ✅ 5          ❔ uncertain        ❔ uncertain       
read rnd             3.0 µs       333.9K       ✅ 6          ✅ +98%             ❔ uncertain       
write sps            87.4 µs      11.4K        ✅ 15         ✅ +59%             ❔ uncertain       
read sps             75.3 µs      13.3K        ✅ 1.5K       ✅ +2.0x            ❔ uncertain       
write dns            1.0 µs       971.6K       ✅ 4          ❔ uncertain        ❔ uncertain       
read dns             1.5 µs       675.7K       ✅ 5          ✅ +95%             ❔ uncertain       
