name                 time/op      ops/s        allocs/op    vs prev            vs ref            
andnot 1M (seq)      20.1 µs      49.7K        🟰 4          ❔ uncertain        ✅ +73%            
andnot 1M (rnd)      20.1 µs      49.7K        🟰 4          ❔ uncertain        ✅ +85%            
andnot 1M (sps)      1.9 ms       520          🟰 4          ❔ uncertain        ✅ +77%            
andnot 1M (dns)      2.4 µs       416.7K       🟰 4          ❔ uncertain        ✅ +11x            
range 1K (seq)       503.8 ns     2.0M         🟰 0          ✅ +22%             🟰 similar         
range 1K (rnd)       384.7 ns     2.6M         🟰 0          🟰 similar          🟰 similar         
range 1K (sps)       559.4 ns     1.8M         🟰 0          🟰 similar          ✅ +27%            
range 1K (dns)       105.3 ns     9.5M         🟰 0          🟰 similar          ❔ uncertain       
range 1M (seq)       556.0 µs     1.8K         🟰 0          🟰 similar          ✅ +2.8x           
range 1M (rnd)       456.8 µs     2.2K         🟰 0          🟰 similar          ✅ +2.8x           
range 1M (sps)       553.0 µs     1.8K         🟰 0          ❔ uncertain        ✅ +13%            
range 1M (dns)       102.0 µs     9.8K         🟰 0          🟰 similar          ✅ +3.0x           
write seq            62.2 ns      16.1M        🟰 3          ❔ uncertain        ✅ +15x            
read seq             90.9 ns      11.0M        🟰 6          ❔ uncertain        ✅ +15x            
write rnd            2.6 µs       378.3K       ✅ 5          ❔ uncertain        ❔ uncertain       
read rnd             2.7 µs       364.4K       🟰 6          ❔ uncertain        ❔ uncertain       
write sps            80.3 µs      12.5K        🟰 15         ❔ uncertain        ❔ uncertain       
read sps             73.0 µs      13.7K        🟰 1.5K       ❔ uncertain        ❔ uncertain       
write dns            959.1 ns     1.0M         ✅ 4          ❔ uncertain        ❔ uncertain       
read dns             1.4 µs       704.4K       🟰 5          ❔ uncertain        ❔ uncertain       
