name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         22.2 ns      45.1M        🟰 0          ❌ -13%             ❌ -10%            
set 1K (seq) clr     4.9 ns       203.8M       🟰 0          ✅ +13%             ❔ uncertain       
set 1K (rnd)         28.8 ns      34.7M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1K (rnd) clr     14.3 ns      70.0M        🟰 0          ✅ +28%             ✅ +11%            
set 1K (sps)         19.2 ns      52.1M        🟰 0          ✅ +8%              ✅ +11%            
set 1K (sps) clr     6.2 ns       161.8M       🟰 0          ✅ +39%             ✅ +12%            
set 1K (dns)         18.1 ns      55.4M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1K (dns) clr     7.8 ns       127.9M       🟰 0          ✅ +9%              ✅ +29%            
set 1M (seq)         10.6 ns      94.0M        🟰 0          ✅ +9%              ✅ +26%            
set 1M (seq) clr     3.6 ns       281.2M       🟰 0          ✅ +3.1x            ✅ +13%            
set 1M (rnd)         19.2 ns      52.2M        🟰 0          ❔ uncertain        ✅ +14%            
set 1M (rnd) clr     19.5 ns      51.2M        🟰 0          ✅ +59%             🟰 similar         
set 1M (sps)         33.8 ns      29.6M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1M (sps) clr     6.0 ns       166.6M       🟰 0          ✅ +2.0x            ❔ uncertain       
set 1M (dns)         12.1 ns      82.4M        🟰 0          ❔ uncertain        ✅ +10%            
set 1M (dns) clr     7.0 ns       142.6M       🟰 0          ✅ +14%             ❔ uncertain       
has 1K (seq)         16.9 ns      59.2M        🟰 0          ❔ uncertain        ❔ uncertain       
has 1K (rnd)         23.2 ns      43.0M        🟰 0          ✅ +12%             ❔ uncertain       
has 1K (sps)         13.3 ns      75.1M        🟰 0          ❔ uncertain        ✅ +33%            
has 1K (dns)         14.9 ns      67.2M        🟰 0          ✅ +30%             ✅ +23%            
has 1M (seq)         8.6 ns       116.0M       🟰 0          ✅ +10%             ✅ +14%            
has 1M (rnd)         18.9 ns      52.8M        🟰 0          🟰 similar          ✅ +10%            
has 1M (sps)         27.8 ns      35.9M        🟰 0          🟰 similar          ✅ +25%            
has 1M (dns)         11.0 ns      90.9M        🟰 0          ✅ +8%              ✅ +8%             
del 1K (seq)         5.2 ns       192.9M       🟰 0          ❔ uncertain        ✅ +16%            
del 1K (seq) clr     11.9 ns      84.1M        🟰 0          ✅ +9%              ❔ uncertain       
del 1K (rnd)         5.2 ns       193.2M       🟰 0          ✅ +30%             ✅ +16%            
del 1K (rnd) clr     12.5 ns      80.0M        🟰 0          ❔ uncertain        ✅ +14%            
del 1K (sps)         5.2 ns       194.1M       🟰 0          ✅ +30%             ✅ +16%            
del 1K (sps) clr     7.1 ns       141.3M       🟰 0          ❔ uncertain        ✅ +46%            
del 1K (dns)         5.1 ns       194.3M       🟰 0          ✅ +29%             ✅ +16%            
del 1K (dns) clr     3.7 ns       268.4M       🟰 0          ✅ +31%             ✅ +51%            
del 1M (seq)         5.2 ns       191.4M       🟰 0          ✅ +31%             ✅ +15%            
del 1M (seq) clr     4.1 ns       244.7M       🟰 0          ✅ +2.5x            ✅ +2.1x           
del 1M (rnd)         20.4 ns      49.1M        🟰 0          🟰 similar          ✅ +14%            
del 1M (rnd) clr     17.5 ns      57.1M        🟰 0          🟰 similar          ✅ +56%            
del 1M (sps)         5.3 ns       187.8M       🟰 0          ❔ uncertain        ✅ +17%            
del 1M (sps) clr     7.0 ns       143.7M       🟰 0          ✅ +15x             ✅ +10.0x          
del 1M (dns)         39.2 ns      25.5M        🟰 0          🟰 similar          ✅ +35%            
del 1M (dns) clr     17.6 ns      56.8M        🟰 0          ❔ uncertain        ❔ uncertain       
and 1K (seq)         920.4 ns     1.1M         🟰 4          ❔ uncertain        ❌ -13%            
and 1K (rnd)         656.9 ns     1.5M         🟰 4          ❔ uncertain        ❌ -15%            
and 1K (sps)         1.3 µs       781.0K       ✅ 4          ❔ uncertain        ❔ uncertain       
and 1K (dns)         176.0 ns     5.7M         🟰 4          ❔ uncertain        ❌ -35%            
and 1M (seq)         20.7 µs      48.4K        ✅ 4          ✅ +24%             ✅ +60%            
and 1M (rnd)         20.2 µs      49.6K        ✅ 4          ✅ +27%             ✅ +65%            
and 1M (sps)         1.8 ms       545          ✅ 4          ❔ uncertain        ✅ +91%            
and 1M (dns)         2.4 µs       422.8K       ✅ 4          ✅ +24%             ✅ +3.1x           
or 1K (seq)          1.4 µs       738.5K       ✅ 5          ✅ +32%             ❔ uncertain       
or 1K (rnd)          1.0 µs       961.4K       ✅ 5          ✅ +50%             ❔ uncertain       
or 1K (sps)          1.6 µs       628.7K       ✅ 5          ✅ +22%             ✅ +32%            
or 1K (dns)          232.8 ns     4.3M         ✅ 5          ✅ +51%             ✅ +2.1x           
or 1M (seq)          20.5 µs      48.8K        ✅ 4          ✅ +31%             ✅ +60%            
or 1M (rnd)          20.3 µs      49.4K        ✅ 4          ✅ +32%             ✅ +59%            
or 1M (sps)          2.1 ms       467          ✅ 5          ✅ +97%             ✅ +93%            
or 1M (dns)          2.8 µs       357.2K       ✅ 4          ❔ uncertain        ❔ uncertain       
xor 1K (seq)         1.4 µs       702.3K       ✅ 5          ❔ uncertain        ✅ +4.9x           
xor 1K (rnd)         1.0 µs       963.6K       ✅ 5          ✅ +13%             ❔ uncertain       
xor 1K (sps)         1.6 µs       615.9K       ✅ 5          ✅ +19%             ❔ uncertain       
xor 1K (dns)         235.9 ns     4.2M         ❌ 5          ❌ -27%             ✅ +16x            
xor 1M (seq)         21.2 µs      47.1K        ✅ 4          ✅ +32%             ✅ +2.7x           
xor 1M (rnd)         20.9 µs      47.8K        ✅ 4          ✅ +32%             ✅ +2.7x           
xor 1M (sps)         2.2 ms       453          ✅ 5          ✅ +89%             ✅ +84%            
xor 1M (dns)         2.4 µs       411.4K       ✅ 4          ✅ +32%             ✅ +10.7x          
andnot 1K (seq)      982.6 ns     1.0M         🟰 4          ❔ uncertain        ❔ uncertain       
andnot 1K (rnd)      767.8 ns     1.3M         🟰 4          ❔ uncertain        ❔ uncertain       
andnot 1K (sps)      1.4 µs       708.9K       ✅ 4          ❔ uncertain        ❔ uncertain       
andnot 1K (dns)      161.4 ns     6.2M         ✅ 4          ❔ uncertain        ✅ +25x            
andnot 1M (seq)      21.3 µs      47.0K        ✅ 4          ✅ +28%             ✅ +70%            
andnot 1M (rnd)      20.7 µs      48.4K        ✅ 4          ✅ +4.6x            ✅ +85%            
andnot 1M (sps)      1.9 ms       520          ✅ 4          ✅ +2.1x            ❔ uncertain       
andnot 1M (dns)      2.4 µs       415.8K       ✅ 4          ✅ +29%             ✅ +11x            
range 1K (seq)       510.0 ns     2.0M         🟰 0          ✅ +19%             🟰 similar         
range 1K (rnd)       388.7 ns     2.6M         🟰 0          ✅ +20%             🟰 similar         
range 1K (sps)       560.2 ns     1.8M         🟰 0          ✅ +20%             ✅ +28%            
range 1K (dns)       109.7 ns     9.1M         🟰 0          ✅ +19%             🟰 similar         
range 1M (seq)       596.8 µs     1.7K         🟰 0          ❔ uncertain        ❔ uncertain       
range 1M (rnd)       478.1 µs     2.1K         🟰 0          ❔ uncertain        ❔ uncertain       
range 1M (sps)       556.2 µs     1.8K         🟰 0          ✅ +20%             ✅ +13%            
range 1M (dns)       102.1 µs     9.8K         🟰 0          ✅ +89%             ✅ +3.0x           
write seq            63.4 ns      15.8M        ✅ 3          ✅ +2.3x            ✅ +15x            
read seq             90.9 ns      11.0M        ✅ 6          ❔ uncertain        ✅ +16x            
write rnd            2.7 µs       366.1K       ✅ 5          ❔ uncertain        ❔ uncertain       
read rnd             3.3 µs       307.2K       ✅ 6          ✅ +76%             ❌ -18%            
write sps            81.5 µs      12.3K        ✅ 15         ❔ uncertain        ❔ uncertain       
read sps             72.6 µs      13.8K        ✅ 1.5K       ✅ +2.1x            ❔ uncertain       
write dns            956.3 ns     1.0M         ✅ 4          ❔ uncertain        ❔ uncertain       
read dns             1.6 µs       615.3K       ✅ 5          ✅ +77%             ❌ -18%            
